tweet,side-effect,ineffective,rushed,pharma,mandatory,unnecessary,political,ingredients,conspiracy,country,religious,none
 cath__kath astrazeneca made kidney cells little girl aborted back 70s,0,0,0,0,0,0,0,1,0,0,0,0
 begins please find safe alternatives vaccine uk issues allergy warning pfizer covid19 vaccine patients fall ill via nypost,1,0,0,0,0,0,0,0,0,0,0,0
 trying speak writing letters government speaking unison shes questioning everything thats going long time vaccine rollout vaccine injury realising experimental agent going keep going continue thread,1,0,1,0,0,0,0,0,0,0,0,0
 dailymailuk im confused vaccine still required socially distance wear masks isolate could still spread covid vaccine passport solution even vaccine doesnt keep safe people see,0,1,0,0,1,0,0,0,0,0,0,0
 need crazy twisted politician telling us whether take vaccine need tell us run lives need fight back ignore nonsensical narrative,0,0,0,0,0,0,1,0,0,0,0,0
 agreet0d1sagree matteo30115900 femi_sorry respect natalies view even differs mine genuinely hope dont encounter problems vaccine passport issued,0,0,0,0,1,0,0,0,0,0,0,0
 taking one team teamcanada new astraseen justsayno takeonefortheteam vaccinesideeffects vaccination vaccineswork wake uk man left paralyzed fighting life getting astrazeneca covid19 vaccine,1,0,0,0,0,0,0,0,0,0,0,0
 canadians received astrazeneca vaccine excluded seeing bruce springsteen broadway opens via ctvottawa people aztrasenaca dr bonnie henry stands vaccines safe seems idea folks,1,1,0,0,0,0,0,0,0,0,0,0
 mom want take vaccine bad im,0,0,0,0,0,0,0,0,0,0,0,1
 carnellanita annaberu yes culled virus vaccine,0,0,0,0,0,0,0,0,1,0,0,0
 denmark norway iceland temporarily suspend use astrazenecas covid19 vaccine blood clot concerns via swarajyamag,1,0,0,0,0,0,0,0,0,0,0,0
 forestforever11 andyreidxi also blackmail dont vaccine cant go abroadshoping etc illegal,0,0,0,0,1,0,0,0,0,0,0,0
 lara_wong matthew82069336 borisjohnson feel sorry really believe saying watching much mainstream media good luck vaccine,0,0,0,0,0,0,0,0,0,0,0,1
 petenyisandor katka_cseh choice go get chinese vaccine wait vaccines approved eu enough summer lets see much chinese actually deliver many people willing accept orban organize mass vaccination doubt,0,0,0,0,0,0,0,0,0,1,0,0
 johncardillo maybeames open investigation nih fauci used tax payer money 500 million get patent 51 ownership personal name covid19 vaccine pushing moderna illegal many others hold 40yrs nih working aids really curewhy,0,0,0,1,0,0,0,0,0,0,0,0
 mysterysolvent death people corona trump keeps spreading virus never anything never going anything waiting business non existent vaccine,0,0,0,0,0,0,1,0,0,0,0,0
 christopherhahn reallyamerican1 tracing country trace tshirt mask wearers finally getting covid vaccine according reports like pfizer max antibody time frame 8 months permanent immunity virus youd one cold,0,1,0,0,0,0,0,0,0,0,0,0
 vaccine thats got liability immunity doesnt stop getting transmitting virus thats never isolated well done,0,1,0,0,0,0,0,0,0,0,0,0
 austrian doctor bbcradio4 talking astrazeneca vaccine blood clots 16 37 bbc shut information blood clots weeks ago theyre still playing serious side effects,1,0,0,0,0,0,0,0,0,0,0,0
 parker_kerns mlee0427 wkrn im saying deadend continues proven maybe mandatory moderna vaccinations countless side effects finally learn dead giveaway cant sue damages due lame vaccines,1,0,0,1,0,0,0,0,0,0,0,0
 13 january 2021 cdc pfizer investigating death miami obstetrician died two weeks getting vaccine daily mail online indepth analysis 605 2134 14012021,1,0,0,0,0,0,0,0,0,0,0,0
 gentleman_cali since theyre new wont get vaccine dont wanna hear commercial 5 years saying loved one modernapfizerjj covid vaccine 2021 may entitled financial compensation,0,0,1,0,0,0,0,0,0,0,0,0
 keirshiels marcuschown point exactly pfizer says vaccine useless 2nd jab isnt given within correct time frame 2nd vaccinating elderly frail patients,0,1,0,0,0,0,0,0,0,0,0,0
 mcrobredz ttb0901 tesssummers98 hignettwilliam ah mandatory vaccine wank,0,0,0,0,1,0,0,0,0,0,0,0
 barnesy62 marklong06 swainitv piersmorgan susannareid100 difficult choice endorsing vaccine taking pretending queue system applies didnt oxford team test lol know first,0,0,1,0,0,0,0,0,0,0,0,0
 akiriluk2 chuckcallesto ill neither get im free american citizen ill go want whenever want mask free vaccine free love country good ole usa im allowed make decisions live life like,0,0,0,0,1,0,0,0,0,0,0,0
 pumphrey6k flu shot isnt 100 effective flu flu dont wear masks covid vaccine 95 get doses say wear mask still aint getting get,0,1,0,0,0,0,0,0,0,0,0,0
 concretesea1 covid similar flu flu around decades didnt self imprison chances covid like flu become extinct circulating many decades expensive periodic vaccine much profitable cure,0,0,0,1,0,0,0,0,0,0,0,0
 51 americans would refuse delay receiving covid19 vaccine survey finds despite relentless push medical political establishment americans roll sleeves acceptance new coronavirus vaccine,0,0,0,0,0,0,1,0,0,0,0,0
 vaers 69y pfizer covidvaccine cognitive decline mri brain completed discovery butterfly glioblastoma brain tumor 46 months live doctor stated 3 months old coinciding vaccination,1,0,0,0,0,0,0,0,0,0,0,0
 justintrudeau cathmckenna cafreeland erinotoole thejagmeetsingh fordnation let play covid19 russian roulette risky rushed vaccine,1,0,0,0,0,0,0,0,0,0,0,0
 realdonaldtrump guess whos gonna get rich leaves white house 71 million people knows take shot arm says thats right donald trump wants science side much stock pfizer buy huh,0,0,0,0,0,0,1,0,0,0,0,0
 jeffmcnamee padakitty amanda77197114 alexanderchee breaking fda announces 2 deaths pfizer vaccine trial participants serious adverse events fed democrats say forced vaccines ny,1,0,0,0,1,0,1,0,0,0,0,0
 blinder_the darrengrimes_ apart fact already covid immune wont need vaccine vaccine isnt way immunity fact doesnt even give immunity lessens symptoms,0,1,0,0,0,1,0,0,0,0,0,0
 the_asia_phile carolbradshaw dpakman get mandate safe due social pressure momentum mrna vaccine tech never tried people chance long term study work theory sure theory good comes altering dna though,1,0,1,0,1,0,0,0,0,0,0,0
 pfizer lol injecting people rna activators,0,0,0,0,0,0,0,1,0,0,0,0
